AAA, NTGA, Anaa Airport, --U--PF, null, Pacific/Tahiti
AAB, YARY, Arrabury Airport, --QLD--AU, null, Australia/Brisbane
AAC, HEAR, El Arish International Airport, El Arish--SIN--EG, null, Africa/Cairo
AAD, AAD, Adado Airport, Adado--GA--SO, null, Africa/Mogadishu
AAE, DABB, Rabah Bitat Airport, Annaba--36--DZ, null, Africa/Algiers
AAF, KAAF, Apalachicola Regional Airport, Apalachicola--FL--US, null, America/New_York
AAG, SSYA, Avelino Vieira Airport, Arapoti--PR--BR, null, America/Sao_Paulo
AAH, EDKA, Aachen-Merzbrück Airport, Aachen--NW--DE, null, Europe/Berlin
AAI, SWRA, Arraias Airport, Arraias--TO--BR, null, America/Araguaina
AAJ, SR-AAJ, Cayana Airstrip, Awaradam--SI--SR, null, America/Paramaribo
AAK, NGUK, Aranuka Airport, Buariki--G--KI, null, Pacific/Tarawa
AAL, EKYT, Aalborg Airport, Aalborg--81--DK, null, Europe/Copenhagen
AAM, FAMD, Malamala Airport, Malamala--NP--ZA, null, Africa/Johannesburg
AAN, OMAL, Al Ain International Airport, Al Ain--AZ--AE, null, Asia/Dubai
AAO, SVAN, Anaco Airport, Anaco--B--VE, null, America/Caracas
AAP, ID-0017, Aji Pangeran Tumenggung Pranoto International Airport, Samarinda--KI--ID, null, Asia/Makassar
AAQ, URKA, Anapa Vityazevo Airport, Anapa--KDA--RU, null, Europe/Moscow
AAR, EKAH, Aarhus Airport, Aarhus--82--DK, null, Europe/Copenhagen
AAS, ID-AAS, Apalapsili Airport, Apalapsili--PA--ID, null, Asia/Jayapura
AAT, CN-0113, Altay Air Base, Altay--65--CN, null, Asia/Urumqi
AAU, NSAU, Asau Airport, Asau--VS--WS, null, Pacific/Apia
AAV, RPMA, Allah Valley Airport, Surallah--SCO--PH, null, Asia/Manila
AAX, SBAX, Romeu Zema Airport, Araxá--MG--BR, null, America/Sao_Paulo
AAY, OYGD, Al Ghaidah International Airport, --MR--YE, null, Asia/Aden
AAZ, MGQZ, Quezaltenango Airport, Quezaltenango--QZ--GT, null, America/Guatemala
ABA, UNAA, Abakan Airport, Abakan--KK--RU, null, Asia/Krasnoyarsk
ABB, DNAS, Asaba International Airport, Asaba--DE--NG, null, Africa/Lagos
ABC, LEAB, Albacete-Los Llanos Airport, Albacete--CM--ES, null, Europe/Madrid
ABD, OIAA, Abadan Airport, Abadan--10--IR, null, Asia/Tehran
ABE, KABE, Lehigh Valley International Airport, Allentown--PA--US, null, America/New_York
ABF, NGAB, Abaiang Airport, Abaiang--G--KI, null, Pacific/Tarawa
ABG, YABI, Abingdon Downs Airport, --QLD--AU, null, Australia/Brisbane
ABH, YAPH, Alpha Airport, Alpha--QLD--AU, null, Australia/Brisbane
ABI, KABI, Abilene Regional Airport, Abilene--TX--US, null, America/Chicago
ABJ, DIAP, Port Bouet Airport, Abidjan--01--CI, null, Africa/Abidjan
ABK, HAKD, Kabri Dehar Airport, Kabri Dehar--SO--ET, null, Africa/Addis_Ababa
ABL, PAFM, Ambler Airport, Ambler--AK--US, null, America/Anchorage
ABM, YBAM, Northern Peninsula Airport, Bamaga--QLD--AU, null, Australia/Brisbane
ABN, SMBN, Albina Airport, Albina--MA--SR, null, America/Paramaribo
ABO, DIAO, Aboisso Airport, Aboisso--13--CI, null, Africa/Abidjan
ABP, ABP, Atkamba Airport, Atkamba Mission--WPD--PG, null, Pacific/Port_Moresby
ABQ, KABQ, Albuquerque International Sunport, Albuquerque--NM--US, null, America/Denver
ABR, KABR, Aberdeen Regional Airport, Aberdeen--SD--US, null, America/Chicago
ABS, HEBL, Abu Simbel Airport, Abu Simbel--ASN--EG, null, Africa/Cairo
ABT, OEBA, Al Baha Airport, --11--SA, null, Asia/Riyadh
ABU, WRKA, Haliwen Airport, Atambua-Timor Island--NT--ID, null, Asia/Makassar
ABV, DNAA, Nnamdi Azikiwe International Airport, Abuja--FC--NG, null, Africa/Lagos
ABW, ABW, Abau Airport, Abau--CPM--PG, null, Pacific/Port_Moresby
ABX, YMAY, Albury Airport, Albury--NSW--AU, null, Australia/Sydney
ABY, KABY, Southwest Georgia Regional Airport, Albany--GA--US, null, America/New_York
ABZ, EGPD, Aberdeen Dyce Airport, Aberdeen--SCT--GB, null, Europe/London
